@relation 'AGR_abrupt drift 4*2500 drifted function:1,3,5,7 generators.AgrawalGenerator -i 70 -p 0.1 -b'

@attribute salary numeric
@attribute commission numeric
@attribute age numeric
@attribute elevel {level0,level1,level2,level3,level4}
@attribute car {car1,car2,car3,car4,car5,car6,car7,car8,car9,car10,car11,car12,car13,car14,car15,car16,car17,car18,car19,car20}
@attribute zipcode {zipcode1,zipcode2,zipcode3,zipcode4,zipcode5,zipcode6,zipcode7,zipcode8,zipcode9}
@attribute hvalue numeric
@attribute hyears numeric
@attribute loan numeric
@attribute class {groupA,groupB}

@data

88735.33755866378,0.0,58.0,level1,car13,zipcode5,135000.0,18.0,500000.0,groupB
139329.97356432624,0.0,24.0,level4,car3,zipcode3,135000.0,8.0,253048.42213823326,groupA
46891.282448740814,27230.71077890269,54.0,level0,car9,zipcode7,135000.0,12.0,305791.0532455357,groupB
118750.6153180985,0.0,72.0,level2,car5,zipcode7,135000.0,28.0,231155.2670967099,groupA
64477.4594772237,21841.50581340317,47.0,level0,car3,zipcode6,135000.0,14.0,67654.99196570902,groupB
114158.09108128335,0.0,20.0,level4,car20,zipcode2,135000.0,10.0,331857.4759645209,groupA
20000.0,61522.17529252195,46.0,level4,car2,zipcode2,135000.0,27.0,406823.0930715191,groupB
109229.2826555457,0.0,39.0,level3,car4,zipcode4,135000.0,11.0,73538.27537594488,groupA
53675.569562839635,25118.18685630864,60.0,level1,car9,zipcode2,135000.0,24.0,57243.45833509085,groupB
30806.187457754648,44663.1133026234,73.0,level1,car13,zipcode1,135000.0,6.0,151584.6883398988,groupA
51510.79582207314,14480.348957439015,48.0,level0,car12,zipcode8,135000.0,8.0,444454.0995233698,groupB
71783.67339312976,0.0,68.0,level4,car4,zipcode2,135000.0,4.0,118107.28651198393,groupA
40855.24260645898,62785.18434756413,42.0,level2,car15,zipcode8,135000.0,26.0,214075.2534717477,groupB
86759.7938520368,0.0,34.0,level1,car13,zipcode2,135000.0,13.0,276132.155297811,groupA
129976.74668270163,0.0,46.0,level3,car4,zipcode3,135000.0,1.0,390129.38587315637,groupB
89981.85399955255,0.0,30.0,level2,car18,zipcode3,135000.0,22.0,307572.54401749163,groupA
144420.71846262485,0.0,50.0,level3,car12,zipcode1,135000.0,14.0,0.0,groupB
78799.09234854556,0.0,24.0,level1,car6,zipcode4,135000.0,18.0,84517.95059747093,groupA
79274.40985532427,49893.404855815235,56.0,level0,car17,zipcode6,135000.0,16.0,478047.2228880087,groupB
57269.25868958234,68532.44795747132,67.0,level2,car16,zipcode9,135000.0,29.0,61630.91225587265,groupA
66085.00744708341,69615.69152611322,53.0,level2,car9,zipcode9,86303.53367604117,3.0,259535.4071510902,groupB
79595.69572159581,0.0,34.0,level4,car15,zipcode3,135000.0,3.0,444617.61657241365,groupA
103749.97689178892,0.0,47.0,level2,car9,zipcode8,129266.07193992182,23.0,475581.92694546084,groupB
44785.506168713066,34943.39561820479,78.0,level3,car19,zipcode2,135000.0,3.0,348439.9384813446,groupA
125496.91084896412,0.0,39.0,level4,car8,zipcode8,135000.0,12.0,192785.2945986201,groupB
88359.92473860204,0.0,80.0,level4,car14,zipcode7,135000.0,25.0,446249.8549040507,groupA
20000.0,38786.11393306628,48.0,level1,car6,zipcode2,135000.0,6.0,263783.801906484,groupB
60134.31036778484,65560.75572552193,65.0,level2,car20,zipcode5,135000.0,13.0,279373.46329143335,groupA
133494.27332858223,0.0,60.0,level4,car19,zipcode4,135000.0,11.0,137976.2572029144,groupB
150000.0,0.0,34.0,level2,car6,zipcode9,101543.44119142652,7.0,195660.5284778561,groupA
123125.11155174833,0.0,52.0,level3,car3,zipcode8,135000.0,3.0,78015.09109186612,groupB
30175.279351515685,21664.980256300023,80.0,level3,car11,zipcode5,135000.0,9.0,350537.23263229564,groupA
20000.0,50821.17793555922,44.0,level0,car14,zipcode6,135000.0,12.0,454301.112061653,groupB
137677.64623904743,0.0,59.0,level1,car13,zipcode6,135000.0,17.0,49769.32367849458,groupA
110963.88265219027,0.0,47.0,level4,car14,zipcode5,135000.0,6.0,344993.278787295,groupB
120018.80410089446,0.0,80.0,level4,car8,zipcode5,135000.0,14.0,386442.3579183357,groupA
29792.804491150313,50770.47065938206,41.0,level3,car19,zipcode3,135000.0,26.0,377725.0345307534,groupB
132440.91208234764,0.0,66.0,level3,car15,zipcode7,135000.0,22.0,322617.5403425673,groupA
106155.3525626008,0.0,48.0,level1,car9,zipcode6,135000.0,12.0,130469.2025369808,groupB
38572.188557862646,41524.30660645916,34.0,level2,car1,zipcode8,135000.0,18.0,324704.78864310315,groupA
57519.7594997529,14649.630918654097,46.0,level2,car10,zipcode3,135000.0,29.0,200139.96369901625,groupB
150000.0,0.0,61.0,level0,car4,zipcode8,135000.0,10.0,436997.8354241389,groupA
91721.57093984139,0.0,56.0,level0,car17,zipcode7,135000.0,30.0,290251.94935503486,groupB
150000.0,0.0,60.0,level4,car4,zipcode9,118045.50206064938,10.0,454235.42435900995,groupA
37895.322203517484,28002.3791315352,57.0,level1,car8,zipcode2,135000.0,23.0,426151.8359091812,groupB
36605.63164429123,49800.108221400966,22.0,level2,car11,zipcode5,135000.0,15.0,53704.75379878346,groupA
106437.94028812235,0.0,52.0,level3,car18,zipcode8,135000.0,17.0,318935.4927555103,groupB
143860.9792041254,0.0,28.0,level4,car20,zipcode5,135000.0,23.0,146423.5018313238,groupA
79899.78182389247,44746.795580318394,48.0,level3,car17,zipcode4,135000.0,25.0,108665.52662957947,groupB
33024.02113876861,56051.89274669472,20.0,level1,car14,zipcode2,135000.0,10.0,342599.75905909244,groupA
88553.66608740576,0.0,56.0,level4,car14,zipcode3,135000.0,3.0,368688.3126952556,groupB
98805.63022590705,0.0,76.0,level2,car9,zipcode2,135000.0,9.0,8342.843912943787,groupA
123763.19198949754,0.0,49.0,level2,car7,zipcode4,135000.0,15.0,262339.86417873006,groupB
92833.94937444694,0.0,29.0,level2,car5,zipcode8,135000.0,26.0,256711.31736532686,groupA
76804.91007599843,0.0,43.0,level1,car3,zipcode2,135000.0,11.0,387866.6594216671,groupB
95426.60498429107,0.0,77.0,level1,car8,zipcode4,135000.0,5.0,248841.993386672,groupA
26577.325601106688,60190.87186791948,38.0,level3,car1,zipcode6,135000.0,25.0,0.0,groupB
100331.53719529221,0.0,37.0,level4,car2,zipcode8,135000.0,14.0,341338.69014677854,groupA
73509.91283968318,0.0,54.0,level4,car2,zipcode5,135000.0,15.0,89881.98658973101,groupB
143098.89059098187,0.0,60.0,level4,car2,zipcode5,135000.0,3.0,405542.2680292078,groupA
43395.55242216193,30066.60932098506,45.0,level1,car1,zipcode4,135000.0,16.0,218244.69723954162,groupB
21703.098060281496,49658.48775141223,21.0,level0,car15,zipcode2,135000.0,11.0,170145.78731499828,groupA
133632.66422296883,0.0,49.0,level0,car11,zipcode7,135000.0,18.0,93536.88907570086,groupB
36386.94583416701,39886.03939102214,28.0,level3,car10,zipcode5,135000.0,23.0,433819.7945568259,groupA
93231.29080758509,0.0,50.0,level2,car11,zipcode7,135000.0,7.0,500000.0,groupB
120965.16586104747,0.0,74.0,level0,car3,zipcode2,135000.0,2.0,211396.22572080474,groupA
55310.991816142036,58134.82787072681,41.0,level2,car8,zipcode5,135000.0,19.0,182572.21533300373,groupB
67767.76278945697,34399.41968420833,25.0,level1,car12,zipcode4,135000.0,26.0,223205.3281167658,groupA
50894.92326464056,57774.539006147475,48.0,level4,car6,zipcode7,135000.0,29.0,68407.53660380689,groupB
117445.21687565885,0.0,67.0,level3,car4,zipcode9,74328.5402567862,21.0,445154.7923315246,groupA
108579.02632518247,0.0,45.0,level4,car2,zipcode5,135000.0,11.0,328181.28728350793,groupB
127518.72408345796,0.0,35.0,level2,car16,zipcode7,135000.0,16.0,106468.61385632415,groupA
104761.9763147691,0.0,56.0,level2,car1,zipcode2,135000.0,19.0,208870.70715093732,groupB
72467.71315754566,75000.0,70.0,level3,car9,zipcode6,135000.0,28.0,216148.783304085,groupA
107282.38452377004,0.0,51.0,level0,car9,zipcode7,135000.0,8.0,288935.51290128386,groupB
132972.7357626688,0.0,23.0,level4,car14,zipcode7,135000.0,25.0,46620.94334136926,groupA
72209.18991431908,0.0,56.0,level3,car6,zipcode8,135000.0,7.0,249407.63775984608,groupB
94489.07707479359,0.0,63.0,level3,car15,zipcode2,135000.0,25.0,301305.79642650124,groupA
30618.335688009774,53955.521903485846,52.0,level1,car12,zipcode4,135000.0,8.0,321533.928738087,groupB
83039.95016866279,19629.40735821773,66.0,level4,car20,zipcode4,135000.0,20.0,102853.20954241256,groupA
48028.87077039486,21362.837973730762,40.0,level1,car15,zipcode1,135000.0,19.0,290019.0084079932,groupB
105931.99487051932,0.0,68.0,level0,car11,zipcode6,135000.0,1.0,453492.2398812899,groupA
109676.7791555951,0.0,54.0,level3,car10,zipcode6,135000.0,5.0,77438.87055084994,groupB
94993.39715540313,0.0,57.0,level4,car11,zipcode5,135000.0,29.0,429832.5422836081,groupA
56670.85037005162,65022.67365060559,39.0,level0,car7,zipcode9,135000.0,8.0,188519.05023568636,groupB
87600.52142371086,0.0,25.0,level1,car20,zipcode6,135000.0,13.0,353681.61757500155,groupA
135959.98590611838,0.0,45.0,level0,car9,zipcode7,135000.0,5.0,293760.1432410952,groupB
97694.50839367913,0.0,21.0,level2,car10,zipcode2,135000.0,28.0,266073.7329506494,groupA
20000.0,43749.337917041354,40.0,level2,car16,zipcode4,135000.0,11.0,297466.36535634595,groupB
43633.82124964395,42743.57673427649,23.0,level0,car13,zipcode9,62186.50594720054,6.0,217524.5618656774,groupA
99236.09494391552,0.0,47.0,level4,car16,zipcode2,135000.0,26.0,152177.48378473608,groupB
97309.9093069927,0.0,63.0,level2,car4,zipcode1,135000.0,18.0,95334.70095758652,groupA
113091.00043944098,0.0,39.0,level1,car10,zipcode5,135000.0,17.0,376438.9622574932,groupB
111578.22474326099,0.0,74.0,level2,car3,zipcode4,135000.0,5.0,117095.37081123801,groupA
76943.24362150177,0.0,60.0,level0,car20,zipcode8,135000.0,22.0,11168.959217362062,groupB
109219.12469016555,0.0,39.0,level1,car17,zipcode1,135000.0,7.0,201917.32970892114,groupA
102816.58899462548,0.0,63.0,level4,car10,zipcode2,135000.0,12.0,477370.3987261687,groupB
146332.01334760498,0.0,60.0,level3,car15,zipcode5,135000.0,23.0,249987.81777107448,groupA
83258.25942477117,0.0,46.0,level0,car12,zipcode6,135000.0,27.0,413571.5625044185,groupB
61246.335769454774,14757.235616841017,25.0,level1,car5,zipcode4,135000.0,1.0,299665.89618548524,groupA
115111.88075560621,0.0,50.0,level1,car15,zipcode1,135000.0,11.0,147754.56309156993,groupB
123785.98612678086,0.0,29.0,level4,car14,zipcode3,135000.0,6.0,57316.68392328148,groupA
85868.27916516077,0.0,50.0,level0,car2,zipcode3,135000.0,25.0,282883.1114399583,groupB
97056.83677511966,0.0,74.0,level2,car14,zipcode4,135000.0,28.0,218292.34172080073,groupA
85942.55878745491,0.0,35.0,level2,car5,zipcode7,135000.0,11.0,141871.46426719055,groupB
59035.33101079635,45879.52859319711,61.0,level0,car6,zipcode7,135000.0,27.0,6995.593296393257,groupA
43525.29231091838,25331.999599296738,47.0,level2,car9,zipcode1,135000.0,12.0,433049.89795540966,groupB
126920.13029667332,0.0,26.0,level4,car20,zipcode8,135000.0,22.0,296581.3673484888,groupA
144713.0620896623,0.0,56.0,level4,car10,zipcode5,135000.0,28.0,54821.64083087395,groupB
61072.019380343176,10000.0,73.0,level4,car5,zipcode8,113955.86508115474,28.0,139897.42856360602,groupA
75658.95826862977,75000.0,40.0,level2,car17,zipcode9,126785.47103511846,22.0,387989.85172379465,groupB
21426.126722882727,75000.0,77.0,level1,car7,zipcode3,135000.0,8.0,446477.569417615,groupA
79844.77394564767,0.0,63.0,level0,car2,zipcode1,135000.0,18.0,26992.337814240615,groupB
119208.87442630943,0.0,73.0,level1,car11,zipcode1,135000.0,24.0,41164.80406662566,groupA
96037.19968702855,0.0,50.0,level0,car1,zipcode1,135000.0,6.0,131663.25408519222,groupB
129000.24658680013,0.0,59.0,level2,car17,zipcode3,135000.0,15.0,180332.64602278726,groupA
