@relation noaa

@attribute Temperature numeric
@attribute DewPoint numeric
@attribute SeaLevelPressure numeric
@attribute Visibility numeric
@attribute AverageWindSpeed numeric
@attribute MaximumSustainedWindSpeed numeric
@attribute MaximumTemperature numeric
@attribute MinimumTemperature numeric
@attribute class {TRUE,FALSE}

@data
23.88888888888889,14.722222222222221,1015.1,99.4,4.6,9.9,28.000000000000004,16.277777777777775,TRUE
24.333333333333332,13.61111111111111,1015.7,99.4,7.2,11.1,27.388888888888886,19.111111111111114,TRUE
23.22222222222222,11.500000000000002,1016.5,99.4,6.4,14.0,26.277777777777775,15.72222222222222,TRUE
23.833333333333336,14.5,1014.7,99.4,5.4,14.0,27.388888888888886,15.72222222222222,TRUE
23.444444444444446,16.833333333333332,1014.0,91.8,4.7,14.0,26.77777777777778,18.499999999999996,TRUE
23.777777777777775,14.944444444444443,1015.4,99.4,9.6,16.9,26.77777777777778,16.277777777777775,TRUE
24.944444444444446,18.000000000000004,1015.7,99.4,11.0,16.9,26.77777777777778,19.61111111111111,TRUE
25.555555555555554,20.055555555555554,1015.6,83.5,10.5,16.9,28.000000000000004,21.77777777777778,TRUE
24.777777777777775,16.444444444444446,1015.0,99.4,5.2,15.0,28.499999999999996,18.000000000000004,TRUE
25.05555555555555,17.388888888888886,1015.0,99.4,4.8,13.0,28.499999999999996,18.000000000000004,TRUE
25.555555555555554,17.5,1016.9,99.4,5.2,9.9,28.000000000000004,20.222222222222225,TRUE
24.611111111111107,16.666666666666668,1017.7,99.4,4.9,14.0,29.111111111111114,16.277777777777775,TRUE
24.166666666666664,17.666666666666664,1017.0,99.4,3.8,8.0,28.499999999999996,20.222222222222225,TRUE
25.33333333333333,14.944444444444443,1018.0,99.4,9.0,14.0,28.499999999999996,18.499999999999996,TRUE
25.833333333333332,16.77777777777778,1017.6,99.4,9.2,16.9,29.611111111111107,20.72222222222222,TRUE
25.500000000000004,18.22222222222222,1017.3,99.4,5.2,8.9,27.388888888888886,20.222222222222225,TRUE
25.72222222222222,18.000000000000004,1016.7,99.4,7.5,12.0,28.499999999999996,19.61111111111111,TRUE
25.833333333333332,18.166666666666668,1015.8,99.4,6.7,9.9,30.222222222222225,18.499999999999996,TRUE
25.666666666666668,17.444444444444443,1014.6,99.4,4.5,9.9,29.111111111111114,20.72222222222222,TRUE
24.0,14.555555555555557,1015.5,91.6,9.2,15.9,26.77777777777778,16.88888888888889,TRUE
23.277777777777782,13.555555555555554,1017.9,99.4,4.5,14.0,28.000000000000004,16.277777777777775,TRUE
24.0,14.166666666666666,1018.3,99.4,5.9,9.9,26.77777777777778,17.388888888888886,TRUE
24.555555555555557,14.388888888888888,1017.0,99.4,5.3,9.9,27.388888888888886,20.72222222222222,TRUE
25.555555555555554,14.388888888888888,1014.0,99.4,8.7,15.9,29.111111111111114,19.61111111111111,TRUE
25.77777777777778,17.555555555555557,1014.2,99.4,8.4,14.0,28.499999999999996,20.222222222222225,TRUE
25.222222222222225,17.77777777777778,1015.5,84.0,6.9,9.9,27.388888888888886,19.111111111111114,TRUE
25.555555555555554,19.0,1014.3,99.4,6.6,9.9,28.000000000000004,19.111111111111114,TRUE
26.38888888888889,17.333333333333336,1013.9,99.4,8.6,12.0,29.611111111111107,20.72222222222222,TRUE
25.666666666666668,16.61111111111111,1013.2,99.4,3.7,12.0,30.222222222222225,18.499999999999996,TRUE
27.055555555555557,20.11111111111111,1012.3,99.4,11.8,15.9,29.611111111111107,24.111111111111114,TRUE
25.33333333333333,20.833333333333332,1012.5,83.3,8.5,16.9,28.499999999999996,21.77777777777778,TRUE
25.05555555555555,18.777777777777775,1013.6,99.4,7.1,14.0,27.388888888888886,19.61111111111111,TRUE
26.11111111111111,18.166666666666668,1014.4,99.4,6.5,13.0,29.611111111111107,19.61111111111111,TRUE
25.944444444444446,18.444444444444446,1014.4,99.4,6.6,9.9,29.111111111111114,19.61111111111111,TRUE
26.055555555555557,17.555555555555557,1015.5,99.4,6.1,13.0,29.611111111111107,18.000000000000004,TRUE
